ArttÄ±rÄ±labilir Azami Bellek,Arttırılabilir Azami Bellek,BaÄŸlantÄ±lar,Bağlantılar,Bağlantılar (İkincil),Beden,Cihaz AÄŸÄ±rlÄ±ÄŸÄ±,Cihaz Ağırlığı,Dokunmatik Ekran,Ekran Boyutu,Ekran KartÄ±,Ekran KartÄ± Bellek Tipi,Ekran KartÄ± HafÄ±zasÄ±,Ekran KartÄ± Tipi,Ekran Kartı,Ekran Kartı Bellek Tipi,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Yenileme HÄ±zÄ±,Ekran Yenileme Hızı,Ekran Özelliği,Garanti SÃ¼resi,Garanti Süresi,Garanti Tipi,Görüntü Kalitesi,HDMI,Hard Disk Kapasitesi,Kapasite,Klavye,KullanÄ±m AmacÄ±,Kullanım Amacı,Maksimum Ä°ÅŸlemci HÄ±zÄ± (GHz),Maksimum İşlemci Hızı (GHz),Okula DÃ¶nÃ¼ÅŸ,Okula Dönüş,Optik SÃ¼rÃ¼cÃ¼ Tipi,Optik Sürücü Tipi,Panel Tipi,Power Supply,Ram (Sistem BelleÄŸi),Ram (Sistem BelleÄŸi) Tipi,Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Renk,SSD Kapasitesi,SSD Teknolojisi,Soket Tipi,Temel Ä°ÅŸlemci HÄ±zÄ± (GHz),Temel İşlemci Hızı (GHz),Ã‡Ã¶zÃ¼nÃ¼rlÃ¼k,Ã‡Ã¶zÃ¼nÃ¼rlÃ¼k StandartÄ±,Ä°ÅŸlemci FrekansÄ±,Ä°ÅŸlemci Modeli,Ä°ÅŸlemci Nesli,Ä°ÅŸlemci Tipi,Ä°ÅŸlemci Ã‡ekirdek SayÄ±sÄ±,Ä°ÅŸletim Sistemi,ÅžarjlÄ± KullanÄ±m SÃ¼resi,Çözünürlük,Çözünürlük Standartı,İşlemci Frekansı,İşlemci Modeli,İşlemci Nesli,İşlemci Tipi,İşlemci Çekirdek Sayısı,İşletim Sistemi,Şarjlı Kullanım Süresi,url,price
,,,USB - Bluetooth - HDMI,,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,,144 Hz,,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),,Oyun,,,,,,,IPS,,,,32 GB,DDR4,Gri,1 TB,Gen 4,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,12650H,12. Nesil,Intel Core i7,10,Free Dos,,https://www.trendyol.com//casper/excalibur-g870-1265-dqb0x-b-intel-core-i7-12650h-32gb-1tb-nvme-rtx4060-fdos-p-776821201?boutiqueId=61&merchantId=169540,35.829 TL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//ryzen/gaming-oyuncu-pc-bilgisayar-masaustu-kasa-ryzen-5-5600-rtx-3060ti-p-775406423?boutiqueId=61&merchantId=881121,"19.799,01 TL"
,16 GB,,HDMI,,,,4 kg ve Üstü,,"24"" / 61 Ekran",,,,,Nvidia Geforce GT 740,DDR3,4 GB,Harici,,75 Hz,,,2 Yıl,İzoly Türkiye Garantisi,,Var,HDD Yok,Yok,Q Türkçe,,Oyun,,,,,,Yok,IPS,350 - 500 W,,,16 GB,DDR4,Siyah,256 GB,,,,3.4,,,,,,,,,,1920 x 1080,Full HD (FHD),3.00 GHz üstü,860,1. Nesil,Intel Core i7,4,Free Dos,6 Saat ve Üstü,https://www.trendyol.com//izoly/k303-intel-core-i7-860-16gb-256gb-gt-740-24-oyuncu-masaustu-bilgisayari-p-130326764?boutiqueId=61&merchantId=123676&advertItems=eyJhZHZlcnRJZCI6IjYyNzQ5OTI0LThhMWQtNGQ2Zi05OTM5LWFiMDdjOThkNWRhZSIsInNvcnRpbmdTY29yZSI6MC4wNTQyMDMxNTI5Njk0Nzk1NjQsImFkU2NvcmUiOjAuMDI4MzE5MzA2NjcxNjE5NDE1LCJhZFNjb3JlcyI6eyIxIjowLjAyODMxOTMwNjY3MTYxOTQxNSwiMiI6MC4wMjgzMTkzMDY2NzE2MTk0MTV9LCJjcGMiOjEuOTE0MDAwMDAwMDAwMDAwMSwibWluQ3BjIjowLCJlQ3BjIjoxLjg0Njg1NTMyODE0NzM3MSwiYWR2ZXJ0U2xvdCI6OCwib3JkZXIiOjcsInNlYXJjaFRlcm0iOiJiaWxnaXNheWFyIiwiYXR0cmlidXRlcyI6IiJ9,"9.823,61 TL"
,16 GB,,HDMI,,,,2 - 4 kg,,"24"" / 61 Ekran",,,,,AMD Radeon RX 550,DDR3,4 GB,Harici,,75 Hz,,,2 Yıl,Resmi Distribütör Garantili,,Var,HDD Yok,1 TB,RGB,,Oyun,,,,,,Yok,IPS,500 W ve üstü,,,16 GB,DDR3,Siyah,240 GB,,LGA 1155,,3.2,,,,,,,,,,1920 x 1080,HD Ready (HD),3.00 GHz üstü,İ5-3470,3. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//zeiron/fx60-i5-3470-16gb-1tb-240gb-rx550-23-8-masaustu-oyun-bilgisayari-p-66379094?boutiqueId=61&merchantId=127037,11.299 TL
,,,HDMI - USB,,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Lenovo Türkiye Garantili,,,1 TB,,Q Türkçe (Aydınlatmasız),,Ofis - İş,,,,,,,,,,,16 GB,DDR4,Gri,1 TB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,1235U,12. Nesil,Intel Core i5,10,Windows,,https://www.trendyol.com//lenovo/v15-g3-i5-1235u-16gb-1tb-ssd-1tb-hdd-w10pro-15-6-fhd-notebook-82tt00a5tx0424-mouse-canta-p-743838249?boutiqueId=61&merchantId=109354,17.992 TL
,,,HDMI,,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel UHD Graphics,DDR4,Paylaşımlı,Harici,,60 Hz,,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q İngilizce,,Ev - Okul,,,,,,,IPS,,,,4 GB,DDR4,Gümüş,128 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,N4000,2. Nesil,Intel Celeron,2,Linux,,https://www.trendyol.com//acer/aspire3-intel-celeron-n4500-4gb-128gb-ssd-dos-15-6-gumus-dizustu-bilgisayar-acer-turkiye-garantili-p-656066934?boutiqueId=626264&merchantId=514600,6.599 TL
,64 GB,,,,,,4 kg ve Üstü,,,,,,,AMD Radeon Vega 3,DDR4,Paylaşımlı,Dahili,,,,,2 Yıl,Resmi Distribütör Garantili,,Var,HDD Yok,Yok,Yok,,Oyun,,,,,,Yok,,500 W ve üstü,,,16 GB,DDR4,,256 GB,,,,3.5,,,,,,,,,,1920 x 1080,Full HD (FHD),3.00 GHz üstü,AMD Athlon 3000G,Belirtilmemiş,AMD Athlon,2,Free Dos,,https://www.trendyol.com//izoly/n12x-t-amd-3000g-3-50ghz-16gb-ddr4-3200mhz-256-ssd-argb-oyuncu-masaustu-bilgisayari-p-332966283?boutiqueId=626264&merchantId=123676&advertItems=eyJhZHZlcnRJZCI6IjYyNzQ5OTI0LThhMWQtNGQ2Zi05OTM5LWFiMDdjOThkNWRhZSIsInNvcnRpbmdTY29yZSI6MC4wNTE3MzUyNzgyODIzMTQ1NCwiYWRTY29yZSI6MC4wMjcwMjk5MjU5NTczMjIxMiwiYWRTY29yZXMiOnsiMSI6MC4wMjcwMjk5MjU5NTczMjIxMiwiMiI6MC4wMjcwMjk5MjU5NTczMjIxMn0sImNwYyI6MS45MTQwMDAwMDAwMDAwMDAxLCJtaW5DcGMiOjAsImVDcGMiOjEuODgxOTMwMTM3MDY5Nzg5OCwiYWR2ZXJ0U2xvdCI6OSwib3JkZXIiOjExLCJzZWFyY2hUZXJtIjoiYmlsZ2lzYXlhciIsImF0dHJpYnV0ZXMiOiIifQ==,"8.067,51 TL"
,64 GB,,HDMI,,,,2 - 4 kg,,"24"" / 61 Ekran",,,,,AMD Radeon RX 550,DDR4,6 GB,Dahili,,75 Hz,,,2 Yıl,Zeiron Türkiye Garantili,,Var,HDD Yok,512 GB,RGB,,Oyun,,,,,,Yok,TN,500 W ve üstü,,,32 GB,DDR4,,512 GB,,AM4,,3.6,,,,,,,,,,1920 x 1080,Full HD (FHD),3.00 GHz üstü,3600,3. Nesil,AMD Ryzen 5,6,Free Dos,,https://www.trendyol.com//zeiron/zgx25-windows-11-pro-ryzen-5-3600-32gb-512gb-ssd-rx550-4gb-23-8-oyuncu-masaustu-bilgisayar-p-310792132?boutiqueId=61&merchantId=127037,14.999 TL
,,,,,,BelirtilmemiÅŸ,,Yok,"14,1 inÃ§",Intel UHD Graphics 600,BelirtilmemiÅŸ,PaylaÅŸÄ±mlÄ±,Dahili,,,,,BelirtilmemiÅŸ,,,2 YÄ±l,,Resmi DistribÃ¼tÃ¶r Garantili,,,HDD Yok,,Q TÃ¼rkÃ§e,Ev - Okul,,2.8,,,,,,TN,,4 GB,BelirtilmemiÅŸ,,,GÃ¼mÃ¼ÅŸ,128 GB,,,1.1,,1366 x 768,HD Ready (HD),,N4020,4. Nesil,Intel Celeron,2,Windows,3 Saat ve AltÄ±,,,,,,,,,,https://www.trendyol.com//hometech/alfa-620c-intel-celeron-n4020-4-gb-128-gb-ssd-windows-11-14-1-tn-tasinabilir-bilgisayar-p-658259965?boutiqueId=61&merchantId=106740,5.999 TL
,8 GB,,Mini HDMI,,,,2 kg ve Altı,Yok,"13,6 inç",,,,,M2 8 Çekirdekli,Dahili,8 GB,Dahili,,120 Hz,,,2 Yıl,Apple Türkiye Garantili,,,250 GB,,Q Türkçe (Aydınlatmasız),,Ofis - İş,,,,,,Yok,,,,,8 GB,DDR5,Mavi,256 GB,,,,3.3,,,,,,,,,,2560 x 1600,Ultra HD 4K (UHD),,Belirtilmemiş,1. Nesil,Apple M2,1,Mac Os,6 Saat ve Üstü,https://www.trendyol.com//apple/macbook-air-13-6-m2-8gb-256gb-ssd-gece-yarisi-p-336318153?boutiqueId=61&merchantId=190694,34.699 TL
,,,Bluetooth,,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,,144 Hz,,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),,Oyun,,4.7,,,,,IPS,,,,32 GB,DDR4,Gri,1 TB,Gen 4,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,12650H,12. Nesil,Intel Core i7,10,Free Dos,,https://www.trendyol.com//casper/excalibur-g870-1265-dfa0x-b-intel-core-i7-12650h-32gb-ram-1tb-nvme-ssd-gen4-6gb-rtx4050-freedos-p-672157475?boutiqueId=61&merchantId=114258&advertItems=eyJhZHZlcnRJZCI6ImFiNmJhZTdjLTEyM2QtNGEyNi1hNjY5LWRlZDBmZjUzMjFlYyIsInNvcnRpbmdTY29yZSI6MC4wNTAzMjc4MzAzMTQ2MzYyNCwiYWRTY29yZSI6MC4wMzU3NDQxOTc2NjY2NDUwNSwiYWRTY29yZXMiOnsiMSI6MC4wMzU3NDQxOTc2NjY2NDUwNSwiMiI6MC4wMzU3NDQxOTc2NjY2NDUwNX0sImNwYyI6MS40MDgwMDAwMDAwMDAwMDAxLCJtaW5DcGMiOjAuMDEsImVDcGMiOjEuNDA4MDAwMDAwMDAwMDAwMSwiYWR2ZXJ0U2xvdCI6MTAsIm9yZGVyIjoxNSwic2VhcmNoVGVybSI6ImJpbGdpc2F5YXIiLCJhdHRyaWJ1dGVzIjoiIn0=,33.999 TL
,16 GB,,Bluetooth - HDMI,,,,2 - 4 kg,Yok,"15,6 inç",,,,,AMD Radeon Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ev - Okul,,,,,,,VA,,,,8 GB,DDR5,Gri,256 GB,Gen 3,AM5,,2.4,,,,,,,,,,1920 x 1080,Full HD (FHD),,7200,7. Nesil,AMD Athlon,4,Free Dos,,https://www.trendyol.com//lenovo/ideapad-slim3-15-6-fhd-amd-athlon-silver-7120u-8gb-ram-256gb-ssd-freedos-p-752227696?boutiqueId=61&merchantId=557390,9.449 TL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//hp/255-g8-ryzen-5-5500-8-gb-ram-256-gb-ssd-15-6-freedos-7n4w6aa-p-654410636?boutiqueId=61&merchantId=717238,"13.078,61 TL"
,,,Bluetooth,,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel XE Graphics,DDR4,8 GB,Dahili,,90 Hz,,,2 Yıl,Asus Türkiye Garantili,,,256 GB,,Q Türkçe (Aydınlatmasız),,Ev - Okul,,,,,,,,,,,8 GB,DDR4,Siyah,256 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,1235U,10. Nesil,Intel Core i5,10,Windows,,https://www.trendyol.com//asus/x1502za-ej654w-intel-i5-1235u-8gb-256gb-ssd-intel-iris-xe-graphics-15-6-fhd-w11-mavi-notebook-p-753724191?boutiqueId=61&merchantId=604207,12.999 TL
64 GB,,VGA - HDMI - DP - COM,,,Tek Ebat,4 kg ve ÃœstÃ¼,,,"24"" / 61 Ekran",AMD Radeon RX 580,GDDR5,6 GB,Harici,,,,,144 Hz,,,2 YÄ±l,,Resmi DistribÃ¼tÃ¶r Garantili,,Var,,Yok,RGB,Oyun,,,,Ãœniversite,,Yok,,IPS,500 W ve Ã¼stÃ¼,16 GB,DDR4,,,Siyah,512 GB,,,3.6,,1920 x 1080,Full HD (FHD),3.00 GHz Ã¼stÃ¼,10100F,10. Nesil,Intel Core i3,4,Free Dos,,,,,,,,,,,https://www.trendyol.com//izoly/hyper-v-i3-10100f-16gb-512ssd-m-2-gddr5-rx-580-8gb-24-oyuncu-masaustu-bilgisayari-p-87696059?boutiqueId=61&merchantId=123676&advertItems=eyJhZHZlcnRJZCI6IjYyNzQ5OTI0LThhMWQtNGQ2Zi05OTM5LWFiMDdjOThkNWRhZSIsInNvcnRpbmdTY29yZSI6MC4wNDk5MzA1MjM0MTQxNjQ3OCwiYWRTY29yZSI6MC4wMjYwODcwMDI4Mjg3MTcyMzIsImFkU2NvcmVzIjp7IjEiOjAuMDI2MDg3MDAyODI4NzE3MjMyLCIyIjowLjAyNjA4NzAwMjgyODcxNzIzMn0sImNwYyI6MS45MTQwMDAwMDAwMDAwMDAxLCJtaW5DcGMiOjAsImVDcGMiOjEuOTE0MDAwMDAwMDAwMDAwMSwiYWR2ZXJ0U2xvdCI6MTEsIm9yZGVyIjoxOSwic2VhcmNoVGVybSI6ImJpbGdpc2F5YXIiLCJhdHRyaWJ1dGVzIjoiIn0=,"16.186,09 TL"
,,,Bluetooth,,,,2 - 4 kg,Yok,"17,3 inç",,,,,Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,,,Full HD,,,Resmi Distribütör Garantili,Full HD,,,Yok,Numerik Tuşlu Aydınlatmalı,,Oyun,,,,,,Yok,VA,,,,16 GB,,,500 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,11800H,,Intel Core i7,,Free Dos,3 Saat ve Altı,https://www.trendyol.com//monster/abra-a7-v13-3-3-intel-core-i7-11800h-16gb-500gb-ssd-rtx3050ti-freedos-17-3-fhd-p-133966693?boutiqueId=61&merchantId=105286,27.899 TL
,16 GB,,HDMI,,,,2 - 4 kg,,"24"" / 61 Ekran",,,,,Nvidia GT730,DDR3,4 GB,Harici,,75 Hz,,,2 Yıl,Resmi Distribütör Garantili,,Var,240 GB,1 TB,RGB,,Oyun,,,,,,Yok,IPS,500 W ve üstü,,,16 GB,,Siyah,240 GB,Gen 4,,,3.2,,,,,,,,,,1920 x 1080,Full HD (FHD),3.00 GHz üstü,İ5-3470,3. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//zeiron/rx44-i5-3470-16gb-1tb-hdd-240gb-ssd-gt730-23-8-oyuncu-masaustu-bilgisayari-p-131386035?boutiqueId=61&merchantId=127037,10.999 TL
,,,HDMI - USB,,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,,144 Hz,,,2 Yıl,MSI Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),,Oyun,,,,,,,TN,,,,16 GB,DDR4,Siyah,512 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,12650H,12. Nesil,Intel Core i7,10,Free Dos,,https://www.trendyol.com//msi/thin-gf63-12uc-666xtr-intel-core-i7-12650h-16gb-512gb-ssd-rtx3050-freedos-15-6-fhd-144hz-p-760924099?boutiqueId=61&merchantId=164330,30.599 TL
,,,HDMI,,Tek Ebat,,4 kg ve Üstü,,,,,,,AMD Radeon RX 580,DDR,8 GB,Harici,,,,,2 Yıl,Resmi Distribütör Garantili,,Var,HDD Yok,Yok,Yok,,Oyun,,,,Üniversite,,Yok,,500 W ve üstü,,,16 GB,DDR3,,256 GB,,,,3.2,,,,,,,,,,,,3.00 GHz üstü,3470,3. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//izoly/echo-i5-3470-16gb-256gb-ssd-rx580-8gb-oyuncu-masaustu-bilgisayari-p-475842719?boutiqueId=626264&merchantId=123676&advertItems=eyJhZHZlcnRJZCI6IjYyNzQ5OTI0LThhMWQtNGQ2Zi05OTM5LWFiMDdjOThkNWRhZSIsInNvcnRpbmdTY29yZSI6MC4wNDk3MTMxNjYyMjU3MDE1NywiYWRTY29yZSI6MC4wMjU5NzM0NDEwNzkyNTg5MiwiYWRTY29yZXMiOnsiMSI6MC4wMjU5NzM0NDEwNzkyNTg5MiwiMiI6MC4wMjU5NzM0NDEwNzkyNTg5Mn0sImNwYyI6MS45MTQwMDAwMDAwMDAwMDAxLCJtaW5DcGMiOjAsImVDcGMiOjEuOTE0MDAwMDAwMDAwMDAwMSwiYWR2ZXJ0U2xvdCI6MTIsIm9yZGVyIjoyMywic2VhcmNoVGVybSI6ImJpbGdpc2F5YXIiLCJhdHRyaWJ1dGVzIjoiIn0=,7.367 TL
,,,USB - Bluetooth - HDMI,,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,,144 Hz,,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),,Oyun,,4.7,,,,,IPS,,,,32 GB,DDR4,Siyah,1 TB,Gen 4,,,2.3,,,,,,,,,,1920 x 1080,Full HD (FHD),,12650H,12. Nesil,Intel Core i7,10,Free Dos,3 Saat ve Altı,https://www.trendyol.com//monster/tulpar-t5-v23-2-2-intel-core-i7-12650h-32-gb-ram-1-tb-ssd-8-gb-rtx-4060-freedos-15-6-fhd-144-hz-p-745868619?boutiqueId=61&merchantId=105286,37.199 TL
32 GB,,HDMI,,,Tek Ebat,4 kg ve ÃœstÃ¼,,,"24"" / 61 Ekran",Nvidia GeForce GTX 1660 SUPER,GDDR6,6 GB,Harici,,,,,144 Hz,,,2 YÄ±l,,Resmi DistribÃ¼tÃ¶r Garantili,,Var,HDD Yok,Yok,RGB,Oyun,,,,,,Yok,,TN,500 W ve Ã¼stÃ¼,16 GB,DDR4,,,,512 GB,,LGA 1200,2.9,,1920 x 1080,Full HD (FHD),3.00 GHz Ã¼stÃ¼,10400F,10. Nesil,Intel Core i5,6,Free Dos,,,,,,,,,,,https://www.trendyol.com//zeiron/galaxy-i5-10400f-16gb-ddr4-512gb-m-2-ssd-gtx1660-super-24-165hz-oyuncu-masaustu-bilgisayari-p-363636199?boutiqueId=61&merchantId=127037,18.845 TL
,,,Bluetooth,,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel XE Graphics,DDR4,8 GB,Dahili,,90 Hz,,,2 Yıl,Asus Türkiye Garantili,,,512 GB,,Q Türkçe (Aydınlatmasız),,Ev - Okul,,,,,,,,,,,8 GB,DDR4,Siyah,512 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,1235U,10. Nesil,Intel Core i5,10,Windows,,https://www.trendyol.com//asus/x1502za-ej490w-intel-i5-1235u-8gb-512gb-ssd-intel-iris-xe-graphics-15-6-fhd-w11-mavi-notebook-p-753701700?boutiqueId=61&merchantId=892477,14.299 TL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//izoly/n12-mega-i5-3470-16gb-256ssd-1tb-hdd-gt740-24-oyuncu-masaustu-bilgisayari-p-57582159?boutiqueId=61&merchantId=123676&advertItems=eyJhZHZlcnRJZCI6IjYyNzQ5OTI0LThhMWQtNGQ2Zi05OTM5LWFiMDdjOThkNWRhZSIsInNvcnRpbmdTY29yZSI6MC4wNDkzMDE5OTIyMjI2NjY3NCwiYWRTY29yZSI6MC4wMjU3NTg2MTY2MjYyNjI2NjUsImFkU2NvcmVzIjp7IjEiOjAuMDI1NzU4NjE2NjI2MjYyNjY1LCIyIjowLjAyNTc1ODYxNjYyNjI2MjY2NX0sImNwYyI6MS45MTQwMDAwMDAwMDAwMDAxLCJtaW5DcGMiOjAsImVDcGMiOjEuOTE0MDAwMDAwMDAwMDAwMSwiYWR2ZXJ0U2xvdCI6MTMsIm9yZGVyIjozLCJzZWFyY2hUZXJtIjoiYmlsZ2lzYXlhciIsImF0dHJpYnV0ZXMiOiIifQ==,"12.655,89 TL"
,128 GB,,,,,,,,,,,,,Quadro RTX 4000,Belirtilmemiş,,Harici,,,,,2 Yıl,Resmi Distribütör Garantili,,Var,HDD Yok,8 TB,Yok,,Oyun,,,,,,Yok,,500 W ve üstü,,,128 GB,DDR4,Siyah,8 GB,,,,,,,,,,,,,,,,,13900K,13. Nesil,Intel Core i9,20,Windows,,https://www.trendyol.com//tiranozor/ti-game-adventure-i9-13900k-128gb-8tb-ssd-rtx-4090-24gb-384bit-w11p-p-696699930?boutiqueId=61&merchantId=264143,265.000 TL
,,,,,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel UHD Graphics,DDR4,Paylaşımlı,Dahili,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,256 GB,,Q Türkçe,,Ev - Okul,,,,,,Yok,,,,,4 GB,DDR4,Gri,256 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,1115G4,Belirtilmemiş,Intel Core i3,2,Windows,,https://www.trendyol.com//asus/intel-core-i3-1115g4-4gb-ram-256gb-ssd-15-6-fhd-windows-11-gri-laptop-x515ea-bq868w-p-356470217?boutiqueId=61&merchantId=194340,"9.999,90 TL"
,,,USB - Bluetooth - HDMI,,,,2 - 4 kg,Yok,"17,3 inç",,,,,Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,,144 Hz,,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),,Oyun,,5.0,,,,,IPS,,,,16 GB,DDR4,Siyah,1 TB,Gen 4,,,2.4,,,,,,,,,,1920 x 1080,Full HD (FHD),,13700H,13. Nesil,Intel Core i7,14,Free Dos,3 Saat ve Altı,https://www.trendyol.com//monster/abra-a7-v14-6-4-intel-core-i7-13700h-16-gb-ram-1-tb-ssd-6-gb-rtx-4050-freedos-17-3-fhd-144-hz-p-736035504?boutiqueId=61&merchantId=105286,34.199 TL
,,,HDMI,,Tek Ebat,,4 kg ve Üstü,,"24"" / 61 Ekran",,,,,Nvidia GeForce RTX 2060 Super,GDDR6,8 GB,Harici,,75 Hz,,,2 Yıl,Resmi Distribütör Garantili,,Var,HDD Yok,Yok,Q Türkçe,,Oyun,,,,,,Yok,,500 W ve üstü,,,16 GB,DDR4,,512 GB,,,,2.5,,,,,,,,,,1920 x 1080,,3.00 GHz üstü,12400F,12. Nesil,Intel Core i5,6,Free Dos,,https://www.trendyol.com//izoly/king-i5-12400f-16gb-512gb-m2-nvme-rtx2060-super-oc-8gb-24-oyuncu-masaustu-bilgisayari-p-674272495?boutiqueId=61&merchantId=123676&advertItems=eyJhZHZlcnRJZCI6IjYyNzQ5OTI0LThhMWQtNGQ2Zi05OTM5LWFiMDdjOThkNWRhZSIsInNvcnRpbmdTY29yZSI6MC4wNDkxNzczMDI3NTE2OTAxNTQsImFkU2NvcmUiOjAuMDI1NjkzNDcwNjEyMTY4MzEyLCJhZFNjb3JlcyI6eyIxIjowLjAyNTY5MzQ3MDYxMjE2ODMxMiwiMiI6MC4wMjU2OTM0NzA2MTIxNjgzMTJ9LCJjcGMiOjEuOTE0MDAwMDAwMDAwMDAwMSwibWluQ3BjIjowLCJlQ3BjIjoxLjg1Nzc3Nzk1MzczODQxOCwiYWR2ZXJ0U2xvdCI6MTQsIm9yZGVyIjo3LCJzZWFyY2hUZXJtIjoiYmlsZ2lzYXlhciIsImF0dHJpYnV0ZXMiOiIifQ==,"24.604,88 TL"
,,,USB - Bluetooth - HDMI,,,,2 kg ve Altı,Yok,"15,6 inç",,,,,AMD Radeon Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ev - Okul,,,,,,,,,,,16 GB,DDR4,Gri,512 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,5700U,5. Nesil,AMD Ryzen 7,8,Free Dos,,https://www.trendyol.com//lenovo/ideapad-1-15alc7-amd-ryzen-7-5700u-16gb-512gb-ssd-freedos-15-6-fhd-bilgisayar-82r4006ftr16-p-783322463?boutiqueId=61&merchantId=106934,12.979 TL
,,,HDMI,,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,,144 Hz,,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,Yok,RGB Türkçe,,Oyun,,4.4,,,,Yok,IPS,,,,16 GB,DDR4,Siyah,500 GB,,,,2.5,,,,,,,,,,1920 x 1080,Full HD (FHD),,12450H,12. Nesil,Intel Core i5,8,Free Dos,,https://www.trendyol.com//casper/excalibur-g770-1245-bvj0x-b-intel-core-i5-12450h-16gb-ram-500gb-nvme-ssd-gen4-4gb-rtx3050-freedos-p-311975657?boutiqueId=623361&merchantId=968,24.999 TL
8 GB,,Mini HDMI,,,,2 kg ve AltÄ±,,Yok,"13,6 inÃ§",M2 8 Ã‡ekirdekli,Dahili,8 GB,Dahili,,,,,120 Hz,,,2 YÄ±l,,Apple TÃ¼rkiye Garantili,,,250 GB,,Q TÃ¼rkÃ§e (AydÄ±nlatmasÄ±z),Ofis - Ä°ÅŸ,,,,,,Yok,,,,8 GB,DDR5,,,SarÄ±,256 GB,,,3.3,,2560 x 1600,Ultra HD 4K (UHD),,BelirtilmemiÅŸ,1. Nesil,Apple M2,1,Mac Os,6 Saat ve ÃœstÃ¼,,,,,,,,,,https://www.trendyol.com//apple/macbook-air-13-6-m2-8c-gpu-8-gb-256-gb-ssd-yildiz-isigi-p-334546082?boutiqueId=61&merchantId=513340,34.750 TL
